industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
白酒,贵州茅台,56.6,-68.0,1425.0,1425.0,3790939.0316301705,0.32181849148418495,748.62,213,198
元器件,卓胜微,56.56,-68.92,692.43,689.25,822232.9439183673,8.478152244897958,542.55,139,106
生物制药,长春高新,42.6,-49.8,682.21,680.39,804492.5062189054,1.2808042288557213,485.13,218,184
互联网,吉比特,35.52,-30.7,449.0,449.3,267684.1282238443,2.1278839416058393,350.8,216,195
互联网,壹网壹创,34.9,-38.39,382.0,383.9,293031.03393063584,7.627264161849712,309.27,97,76
元器件,圣邦股份,35.55,-35.75,395.14,394.1,278268.4381546135,2.5501718204488775,306.83,205,196
半导体,安集科技,156.82,-35.0,328.0,330.2,269284.928959276,12.374256108597287,238.47,113,108
医疗保健,迈瑞医疗,21.47,-11.48,287.99,286.83,857207.4524509804,2.6067698529411767,238.23,226,182
医疗保健,心脉医疗,112.07,-15.55,277.57,284.18,186411.89049773756,8.090694570135746,237.95,119,102
半导体,兆易创新,34.11,-41.16,420.0,426.16,1306585.1901234568,3.0612525925925924,227.84,211,194
互联网,三人行,26.67,5.29,278.0,286.99,567975.48,13.827500000000002,226.37,15,0
专用机械,迈为股份,24.94,-22.54,267.09,276.0,148621.7388205128,5.855047692307693,221.02,206,184
软件服务,金山办公,80.49,-25.8,289.0,288.86,519561.5,4.058984507042253,216.44,78,64
软件服务,安恒信息,44.7,-24.52,312.88,313.0,173395.84834437087,6.890170198675497,207.17,82,69
软件服务,诚迈科技,28.71,-34.25,339.35,342.5,436121.097080292,9.88967883211679,203.79,221,190
元器件,深南电路,23.49,-25.36,261.0,258.58,665922.2773722628,5.0521265206812656,185.02,224,187
医疗保健,硕世生物,35.17,-22.25,220.99,230.8,260160.77519379844,18.356157364341087,184.02,71,58
影视音像,新媒股份,17.09,-17.7,209.67,210.76,205631.88239929327,5.113718374558304,174.59,153,130
通信设备,移远通信,23.59,-25.47,260.0,268.0,328596.8579555555,8.908008888888888,173.19,122,103
专用机械,中微公司,52.02,-33.08,242.0,249.18,673379.1981900453,10.80973846153846,166.21,124,97
半导体,斯达半导,15.88,-15.6,193.48,190.0,724367.9818494623,12.9006,159.01,62,31
医疗保健,万泰生物,15.37,-11.94,163.8,169.04,517130.89190909086,8.260084848484848,156.2,31,2
医疗保健,南微医学,58.06,-15.7,214.3,214.66,325922.63257918553,7.049730316742082,154.43,119,102
生物制药,凯莱英,16.07,-12.16,223.0,222.0,254917.69659367396,1.384848418491484,153.14,216,195
软件服务,财富趋势,93.89,-28.21,279.9,283.21,799672.5714285715,23.350979999999996,152.4,20,15
互联网,值得买,18.82,-20.33,207.0,208.49,199249.7797079646,11.271900884955752,147.88,125,101
半导体,韦尔股份,20.0,-20.8,215.49,220.02,557081.820487805,3.736899512195122,146.02,210,200
专用机械,华峰测控,232.6,-36.5,355.0,340.01,375234.978313253,10.621593975903615,145.78,43,40
医疗保健,新产业,14.58,-7.42,171.0,167.01,894013.1696296297,14.143996296296299,135.17,20,7
日用化工,珀莱雅,12.2,-16.04,174.18,173.65,135139.73454987834,2.8463423357664235,131.4,221,190
专用机械,博杰股份,15.22,-15.77,164.68,165.8,343078.90771739127,15.268895652173912,130.76,51,41
元器件,汇顶科技,30.43,-33.81,364.97,373.28,700408.3579075426,1.0857649635036497,130.61,222,189
化学制药,兴齐眼药,10.92,-10.89,148.35,149.29,118162.63829683697,3.0570435523114354,129.73,226,185
家居用品,江山欧派,14.59,-16.65,165.0,166.5,58872.60476885645,3.152271776155718,126.38,219,192
化工原料,德方纳米,19.65,-22.0,216.5,219.96,133565.83989198608,9.87717038327526,121.78,148,139
医疗保健,东方生物,124.73,-20.27,147.13,149.35,416686.32608695654,15.321484782608696,120.61,50,42
半导体,乐鑫科技,66.51,-33.62,293.5,295.0,345065.25927601807,11.190127601809953,118.1,111,110
医疗保健,安图生物,11.69,-10.04,168.0,169.2,133897.18564476885,0.687057907542579,114.62,214,197
专用机械,中潜股份,18.15,-19.2,211.33,199.64,71463.48613138686,2.8656287104622873,112.47,223,188
家用电器,小熊电器,15.07,-7.45,139.08,139.07,247335.42984771568,10.664397969543147,110.85,107,90
互联网,国联股份,11.3,-13.25,129.0,134.5,245581.50840000005,9.864319069767442,108.69,122,93
电气设备,公牛集团,26.16,-14.02,183.94,184.98,723117.2494505495,7.1821142857142855,108.62,51,40
专用机械,北方华创,16.71,-17.47,179.0,183.79,912270.7080291971,2.58861897810219,107.36,215,196
生物制药,康泰生物,9.48,-9.05,149.8,149.46,390671.7430656935,2.1230165450121654,107.3,227,184
