max_change,min_change,start,end,amount,turn,change,up_count,down_count,name,industry,class
35.52,-30.7,449.0,449.3,267684.1282238443,2.1278839416058397,350.8,216,195,吉比特,互联网,0
34.9,-38.39,382.0,383.9,293031.03393063584,7.6272641618497135,309.27,97,76,壹网壹创,互联网,0
35.55,-35.75,395.14,394.1,278268.43815461354,2.550171820448877,306.83,205,196,圣邦股份,元器件,0
156.82,-35.0,328.0,330.2,269284.928959276,12.374256108597288,238.47,113,108,安集科技,半导体,0
28.71,-34.25,339.35,342.5,436121.097080292,9.889678832116788,203.79,221,190,诚迈科技,软件服务,0
35.17,-22.25,220.99,230.8,260160.77519379844,18.356157364341087,184.02,71,58,硕世生物,医疗保健,0
23.59,-25.47,260.0,268.0,328596.8579555555,8.908008888888887,173.19,122,103,移远通信,通信设备,0
58.06,-15.7,214.3,214.66,325922.63257918553,7.049730316742082,154.43,119,102,南微医学,医疗保健,0
16.07,-12.16,223.0,222.0,254917.696593674,1.3848484184914842,153.14,216,195,凯莱英,生物制药,0
232.6,-36.5,355.0,340.01,375234.97831325297,10.621593975903616,145.78,43,40,华峰测控,专用机械,0
15.22,-15.77,164.68,165.8,343078.90771739127,15.268895652173912,130.76,51,41,博杰股份,专用机械,0
124.73,-20.27,147.13,149.35,416686.3260869565,15.321484782608694,120.61,50,42,东方生物,医疗保健,0
66.51,-33.62,293.5,295.0,345065.25927601807,11.190127601809952,118.1,111,110,乐鑫科技,半导体,0
9.48,-9.05,149.8,149.46,390671.74306569353,2.1230165450121654,107.3,227,184,康泰生物,生物制药,0
228.98,-38.1,487.13,500.1,411091.25,6.46481125,102.68,37,43,石头科技,家用电器,0
6.22,-11.0,147.5,147.61,281777.44355231145,1.0005941605839417,97.14,221,190,通策医疗,医疗保健,0
13.0,-9.22,140.2,140.9,303358.15578947373,9.159801052631579,95.27,56,39,玉禾田,环境保护,0
9.93,-9.17,136.0,135.37,426265.42287104623,0.7340099756690996,94.04,213,198,山西汾酒,白酒,0
37.31,-9.03,138.77,138.6,254967.212,6.079772,88.81,81,69,华熙生物,生物制药,0
37.53,-18.1,158.87,159.56,483798.2540983607,24.53433852459016,86.55,64,58,芯源微,半导体,0
16.72,-17.3,167.01,173.0,331116.5842975207,12.063423140495868,85.2,64,57,锐明技术,通信设备,0
63.52,-10.0,111.55,122.04,370669.28541666665,20.711895833333333,70.98,51,45,洁特生物,塑料,0
12.24,-14.32,155.6,155.71,323585.82895377127,0.8108457420924575,69.96,208,203,古井贡酒,白酒,0
7.23,-7.6,89.5,90.0,251780.77149339212,9.986425110132158,66.67,129,98,三只松鼠,食品,0
66.2,-11.19,132.0,117.09,280277.36666666664,15.560478333333332,65.64,28,32,佳华科技,软件服务,0
5.93,-5.71,82.4,81.09,426297.3003417722,16.425911392405073,65.25,49,30,良品铺子,食品,0
12.34,-9.38,155.5,155.65,478007.7153284672,0.7260941605839415,64.41,219,192,片仔癀,中成药,0
11.38,-6.55,131.0,133.85,378834.5496350365,0.14147737226277374,63.34,223,188,海天味业,食品,0
6.8100000000000005,-5.18,86.5,85.79,380559.1871046229,1.3240754257907543,62.58,225,186,泰格医药,医疗保健,0
